$ hermes skills list
exit=0

STDOUT:
                                Installed Skills                                
┏━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━┓
┃ Name                  ┃ Category             ┃ Source   ┃ Trust    ┃ Status  ┃
┡━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━━╇━━━━━━━━━┩
│ dogfood               │                      │ builtin  │ builtin  │ enabled │
│ apple-ecosystem-auto… │ apple                │ local    │ local    │ enabled │
│ antigravity-cli       │ autonomous-ai-agents │ local    │ local    │ enabled │
│ external-coding-agen… │ autonomous-ai-agents │ local    │ local    │ enabled │
│ hermes-agent          │ autonomous-ai-agents │ builtin  │ builtin  │ enabled │
│ hermes-peer-experien… │ autonomous-ai-agents │ local    │ local    │ enabled │
│ hermes-peer-mesh-ope… │ autonomous-ai-agents │ local    │ local    │ enabled │
│ kanban-codex-lane     │ autonomous-ai-agents │ local    │ local    │ enabled │
│ baoyu-article-illust… │ creative             │ official │ official │ enabled │
│ baoyu-comic           │ creative             │ official │ official │ enabled │
│ comfyui               │ creative             │ builtin  │ builtin  │ enabled │
│ creative-web-visuals  │ creative             │ local    │ local    │ enabled │
│ ideation              │ creative             │ local    │ local    │ enabled │
│ pixel-art             │ creative             │ official │ official │ enabled │
│ jupyter-live-kernel   │ data-science         │ builtin  │ builtin  │ enabled │
│ hermes-background-op… │ devops               │ local    │ local    │ enabled │
│ hermes-operations     │ devops               │ local    │ local    │ enabled │
│ linux-system-mainten… │ devops               │ local    │ local    │ enabled │
│ webhook-subscriptions │ devops               │ local    │ local    │ enabled │
│ minecraft-modpack-se… │ gaming               │ official │ official │ enabled │
│ pokemon-player        │ gaming               │ official │ official │ enabled │
│ github-workflow-oper… │ github               │ local    │ local    │ enabled │
│ native-mcp            │ mcp                  │ local    │ local    │ enabled │
│ media-content-produc… │ media                │ local    │ local    │ enabled │
│ spotify               │ media                │ local    │ local    │ enabled │
│ dspy                  │ mlops                │ official │ official │ enabled │
│ mlops-model-operatio… │ mlops                │ local    │ local    │ enabled │
│ linear                │ productivity         │ local    │ local    │ enabled │
│ linux-desktop-automa… │ productivity         │ local    │ local    │ enabled │
│ productivity-platfor… │ productivity         │ local    │ local    │ enabled │
│ godmode               │ red-teaming          │ local    │ local    │ enabled │
│ research-intelligenc… │ research             │ local    │ local    │ enabled │
│ openhue               │ smart-home           │ builtin  │ builtin  │ enabled │
│ social-platform-oper… │ social-media         │ local    │ local    │ enabled │
│ debugging-hermes-tui… │ software-development │ local    │ local    │ enabled │
│ hermes-s6-container-… │ software-development │ local    │ local    │ enabled │
│ simplify-code         │ software-development │ builtin  │ builtin  │ enabled │
│ software-development… │ software-development │ local    │ local    │ enabled │
│ subagent-driven-deve… │ software-development │ local    │ local    │ enabled │
│ writing-plans         │ software-development │ local    │ local    │ enabled │
└───────────────────────┴──────────────────────┴──────────┴──────────┴─────────┘
6 hub-installed, 6 builtin, 28 local — 40 enabled, 0 disabled



STDERR:

